0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,5,12,1,0,0,5,0,0,0,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,5,0,0,0,3,7,10,0,0,6,2,3,0,19,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,2,0
6,1,5,0,4,0,2,24,18,0,0,11,26,0,1,21,2,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,1,0
0,0,12,2,4,0,5,48,19,0,0,14,24,0,0,20,0,0,0,0,1,3,0,0,3,0,9,0,6,0,8,1,7,0
2,12,32,7,6,1,11,77,30,0,6,12,34,0,0,35,5,0,0,2,3,0,2,14,15,13,7,1,7,1,3,4,4,1
4,14,29,14,14,2,5,94,61,2,13,32,70,2,3,65,2,0,0,0,5,5,0,12,1,11,2,0,12,0,4,5,4,0
7,28,72,39,38,8,11,130,65,12,9,23,45,7,5,57,10,0,0,0,4,11,1,9,5,16,7,2,11,6,2,14,7,3
5,10,81,33,18,5,14,130,62,10,17,23,51,15,13,64,2,0,0,0,7,9,1,3,7,17,1,2,6,2,11,11,9,1
14,18,84,18,21,0,21,180,49,6,9,16,47,6,2,85,8,0,1,3,13,6,6,4,16,21,10,0,18,5,12,15,12,1
2,11,108,35,25,7,18,287,86,14,14,58,79,11,9,106,8,0,3,0,32,7,0,11,5,12,9,0,11,0,11,15,26,3
2,9,105,43,36,4,25,354,147,15,12,48,83,10,7,192,23,0,0,0,31,13,6,13,8,25,7,2,13,6,11,12,5,3
8,23,235,105,52,11,44,420,164,15,18,47,109,18,13,187,10,0,0,0,66,5,2,15,20,29,5,14,23,8,25,27,21,8
5,37,237,91,67,12,43,545,236,8,38,82,117,24,21,262,28,0,0,0,67,13,10,12,12,28,9,6,41,4,12,37,24,4
30,42,259,115,95,39,67,802,314,15,36,61,143,24,28,331,20,0,5,0,109,15,15,24,18,43,5,8,19,2,17,19,22,3
12,23,289,144,97,31,111,931,303,44,57,89,176,37,35,406,39,0,12,0,129,17,8,26,32,81,14,5,42,15,43,34,29,7
43,35,377,190,123,29,85,949,364,30,53,100,179,52,42,489,61,0,4,1,120,8,18,39,41,95,12,8,43,6,41,25,29,4
