zoneid,zonex,zoney,city
0,156.6471975,38.8493175,C
1,156.647202,38.8633655,C
2,156.647193,38.87741150000001,C
3,156.86269650000003,38.9197665,C
4,156.970502,38.7088835,C
5,156.9705335,38.8495215,C
6,156.98849049999998,38.947808,C
7,157.006506,39.045737,C
8,157.114267,38.947762499999996,C
9,157.18618099999998,38.905375,C
10,157.2220545,38.765225,C
11,157.25809049999998,38.961462,C
12,157.347804,38.891672,C
13,157.3658195,38.8914715,C
14,157.3838575,38.5675435,C
15,157.3838575,38.8350305,C
16,157.4018415,38.510985,C
17,157.4018325,38.8208645,C
18,157.4018685,38.863022,C
19,157.41979400000002,38.553475,C
20,157.4197625,38.821008500000005,C
21,157.437666,38.793159,C
22,157.437675,38.835325999999995,C
23,157.43769299999997,38.863429499999995,C
24,157.43768849999998,38.877474500000005,C
25,157.45558699999998,38.821444,C
26,157.4556005,38.8355015,C
27,157.4556185,38.863604499999994,C
28,157.4556095,38.8776465,C
29,157.4555825,39.24182400000001,C
30,157.4735665,38.8213845,C
31,157.4735935,38.849492999999995,C
32,157.47359799999998,38.8635415,C
33,157.4735935,38.877587,C
34,157.4735755,38.8916265,C
35,157.4916225,38.8492505,C
36,157.491627,38.863299,C
37,157.491618,38.877345000000005,C
38,157.491609,38.891384,C
39,157.509638,38.778745,C
40,157.5096245,38.792804,C
41,157.5096335,38.834971,C
42,157.50964699999997,38.8490295,C
43,157.50965150000002,38.863078,C
44,157.50964699999997,38.877120000000005,C
45,157.5096245,39.2133515,C
46,157.50961999999998,39.2413,C
47,157.52758649999998,38.806836000000004,C
48,157.52759099999997,39.241271999999995,C
49,157.5276045,39.255242,C
50,157.52761800000002,39.2692165,C
51,157.527627,39.2831775,C
52,157.545512,38.792975999999996,C
53,157.545512,39.213522999999995,C
54,157.54550749999999,39.241468,C
55,157.545521,39.255441000000005,C
56,157.5634105,38.793233,C
57,157.5634195,39.045863,C
58,157.56343299999997,39.059875500000004,C
59,157.5634105,39.213777500000006,C
60,157.5634015,39.22775,C
61,157.5634015,39.2417225,C
62,157.58137699999997,38.765225,C
63,157.5813545,39.045982499999994,C
64,157.581341,39.115993,C
65,157.5813635,39.367466500000006,C
66,157.5993565,39.0458385,C
67,157.5993745,39.059847500000004,C
68,157.59937000000002,39.087858,C
69,157.599343,39.227725500000005,C
70,157.599343,39.241698,C
71,157.5993655,39.367323,C
72,157.599379,39.381271,C
73,157.617408,39.0595885,C
74,157.6174125,39.2833445,C
75,157.617399,39.367065,C
76,157.6174125,39.3810105,C
77,157.6353875,39.2272855,C
78,157.6353965,39.3529365,C
79,157.63541450000002,39.3668875,C
80,157.65336250000001,39.1993975,C
81,157.653349,39.213369,C
82,157.65334000000001,39.2273445,C
83,157.6533445,39.241317499999994,C
84,157.671257,39.1017115,C
85,157.67125249999998,39.2136105,C
86,157.6712435,39.2275825,C
87,157.671248,39.534321,C
88,157.68918250000002,39.087942,C
89,157.6891645,39.1019425,C
90,157.6891555,39.213837,C
91,157.68915099999998,39.2278095,C
92,157.707135,39.087973500000004,C
93,157.70712600000002,39.101967,C
94,157.7071125,39.115965,C
95,157.707108,39.1299605,C
96,157.70713949999998,39.1859125,C
97,157.7071305,39.199894,C
98,157.725155,39.0877775,C
99,157.7251285,39.115769,C
100,157.7251285,39.1297645,C
101,157.72513300000003,39.14376,C
102,157.7251595,39.1717365,C
103,157.725155,39.185721,C
104,157.725155,39.2695585,C
105,157.743157,39.12950549999999,C
106,157.74317050000002,39.143501,C
107,157.74318399999999,39.157491,C
108,157.74319300000002,39.171481,C
109,157.74319300000002,39.1854655,C
110,157.74318399999999,39.1994395,C
111,157.7611815,39.1573685,C
112,157.761186,39.171358999999995,C
113,157.761186,39.185343,C
114,157.779112,39.1575085,C
115,157.779121,39.17149499999999,C
116,157.779121,39.1854795,C
117,157.8149095,39.2138755,C
118,157.8329205,39.2836765,C
119,157.886922,39.352943499999995,C
120,157.9586875,39.409155999999996,C
121,157.95866949999998,39.423088500000006,C
122,157.9586605,39.43701849999999,C
123,157.97673450000002,39.394959,C
124,157.976703,39.4228275,C
125,157.9766985,39.436761000000004,C
126,158.0126715,39.213365499999995,C
127,158.030579,39.2136,C
128,158.0664575,39.087977,C
129,158.0664485,39.101974,C
130,158.06642599999998,39.548493,C
131,158.084473,39.087788,C
132,158.08445949999998,39.101785,C
133,158.0844505,39.1157795,C
134,158.10247950000002,39.227396999999996,C
